name,place,owner,content
牛串 by LyRac,三四郎坂A5,LyRac,飲食/軽食
タッチダウンフランクフルト,工学部広場F2,VIKINGS,飲食/軽食
東大レゴ部展示,工学部3号館,レゴ部,エンタメ/展示
東大みかん愛好会,工学部2号館前6,みかん愛好会,飲食/スイーツ
赤門茶館,教育学部棟,中国茶同好会,飲食/飲み物
東大カジノ展,理学部1号館,ポーカーサークルBigSlick,エンタメ/ゲーム、パズル
イェッタイガートッポギ,中央通りB3,アイドル研究会,飲食/軽食
ナチョスのナイスなチョイス,銀杏並木C5,文科一・二類12組,飲食/お食事系
麻婆豆腐^2,銀杏並木C9,優しい山椒大夫,飲食/お食事系
漢珈琲,西片門前A5,若者研究会,飲食/飲み物
ティースタンドKUREHA,赤門通りC9,紅茶同好会KUREHA,飲食/スイーツ
紅茶処KUREHA,農学部1号館,紅茶同好会KUREHA,飲食/飲み物
VOCALOID DJ,工学部8号館,合成音声愛好会,音楽/楽器演奏
宙人,工学部7号館,工学部航空宇宙工学科,学術/展示
ブラアカ第32回五月祭演奏会,安田講堂,ブラスアカデミー,音楽/楽器演奏
マンドリンコンサート,工学部1号館,マンドリンクラブ,音楽/楽器演奏
チュきすぎて滅！,図書館通りC7,理科一類13組,飲食/スイーツ
五月祭教育シンポジウム2026,法文2号館,特定非営利活動法人　日本教育再興連盟（ROJE）,学術/講演会、発表
うどん部のぶっかけ焼きうどん,農学部通りD1,うどん部,飲食/お食事系
メロス妹,セントラルステージ,メロス妹,音楽/バンド
山下達郎コピーバンド,セントラルステージ,山下達郎コピーバンド,音楽/バンド
第20回東京大学五月祭記念弁論大会,法文1号館(東),弁論部,パフォーマンス/ショー
タロットパーティー,法文2号館,Tカード同好会,エンタメ/工作、体験
古流武術鹿島神流屋内演武,七徳堂,古流武術鹿島神流,パフォーマンス/スポーツ、武道
大学戦士トーダイン　上映会,国際学術総合研究棟,特撮映像研究会,エンタメ/展示
UTBC焼きそば,銀杏並木B7,UTBC,飲食/お食事系
自然環境学 五月祭Lab.,医学部広場B2,新領域創成科学研究科自然環境学専攻有志,飲食/軽食
苗から育てた玉ねぎ焼きそば！,農学部通りF3,Agrlien,飲食/お食事系
ナミビア研修報告会,国際学術総合研究棟,エムピージェーユース,学術/講演会、発表
しゅわっふる,赤門通りC3,手話サークル　しゅわっち,飲食/スイーツ
作って遊ぼう！ワクワクロボット,工学部14号館,未来ものづくり工房,学術/体験
たたら製鉄,工学部4号館,工学部マテリアル工学科,学術/体験
東大美術サークル五月展,工学部3号館,美術サークル,エンタメ/展示
推薦亭,赤門通りA2,推薦入学生有志,飲食/お食事系
Oasis コピーバンド by BR研,セントラルステージ,British Rock研究会,音楽/バンド
三鷹寮クレープ～収益は家賃に～,伊藤門横丁1,三鷹国際学生宿舎宿舎委員会,飲食/スイーツ
UTPT,理学部1号館,UTPT,エンタメ/ゲーム、パズル
まち大18ビール,正門横6,まちづくり大学院18期有志,飲食/酒類
単位くれ～ぷ,三四郎坂B2,理科二・三類10組,飲食/スイーツ
ゲー研コレクションわくわく生活,工学部5号館,ゲーム研究会,エンタメ/ゲーム、パズル
デジタル人文学フェス,法文1号館(西),人文社会系研究科 文化資源学研究専攻・人文情報学リサーチハブ,学術/展示
飛燕会の焼き鳥,工学部広場E2,飛燕会,飲食/軽食
東京大学ソーラーボートレーシング,西片門前A1,ソーラーボートレーシング,学術/展示
ヨット部牛串,図書館通りB1,ヨット部,飲食/軽食
科学を遊ぶ！くられ先生×キムワイプ卓球会,工学部14号館,キムワイプ卓球会,エンタメ/工作、体験
「共生」するとはどういうことか,法文1号館(西),文学部 人文学科 社会学専修,学術/講演会、発表
五月祭アイドルライブ,図書館前ステージ,エンタメ研究所,パフォーマンス/ショー
赤門カクテル研究所,伊藤門通りB5,カクテル研究所,飲食/酒類
丁友会カクテルバー,工学部横丁2,工学部丁友会,飲食/酒類
FLUTE ENSEMBLE,法文1号館(西),フルート同好会,音楽/楽器演奏
五月祭春の吟詠会,国際学術総合研究棟,詩吟研究会,音楽/合唱
東大VTuber愛好会,工学部14号館,VTuber愛好会,エンタメ/展示
いつも君のソバに～イカ焼きそば～,西片門前A2,文科一・二類23組,飲食/お食事系
牛には酷だが串にさす,正赤通りC7,理科二・三類14組,飲食/軽食
射的だよはっぴー,赤門通りB2,スポーツ愛好会バレーボールパート06,エンタメ/ゲーム、パズル
聖書の世界,工学部3号館,キリスト者学生会,学術/展示
ジャンボリチュロス！,中央通りB2,ディズニーサークル,飲食/スイーツ
同人誌即売会コミックアカデミー,工学部8号館,コミックアカデミー実行委員会,エンタメ/展示
愛らぶSHISHAMO,セントラルステージ,有志,音楽/バンド
ラヴ全上等！アメドはヤベェだろ,工学部広場A7,ラブオール,飲食/軽食
スペシャの焼きうどんkitchen,正赤通りD6,スペースシャトル,飲食/お食事系
トマトの牛串,図書館広場10,トマトテニスクラブ,飲食/お食事系
日本全国！名産品展,農学部通りD5,東大生地方創生コンソーシアム,飲食/お食事系
ブラアカ路上ライブ！,工学部広場ステージ,ブラスアカデミー,音楽/楽器演奏
イカす！でんの揚げサンド,中央通りB1,スプラトゥーンサークルでん,飲食/スイーツ
アツアツ！肉汁！あぁ！エンパナーダ,医学部広場B4,絶品！スペイン！あぁ！エンパナーダ,飲食/お食事系
働いて働いて働いて色変わるピー,正赤通りF5,Innovation ZERO,飲食/飲み物
利き参考書,伊藤門通りA4,卓越参考書研究会,エンタメ/ゲーム、パズル
マラバリスタジャグリングステージ,図書館前ステージ,ジャグリングサークルマラバリスタ,パフォーマンス/ショー
次世代ボードゲーム戦略会議,工学部11号館,新領域創成科学研究科有志,学術/体験
星空サイダー,農学部通りC1,地文研究会天文部,飲食/飲み物
名古屋どて煮一本勝負,農学部通りF4,水域保全,飲食/軽食
ウガンダの国民食ロレックス,正門横3,Challengers,飲食/軽食
古流武術鹿島神流屋外演武,理学部スペース,古流武術鹿島神流,パフォーマンス/スポーツ、武道
航空部の焼き鳥バードストライク,三四郎坂A3,航空部,飲食/軽食
ミシュランジェロ,銀杏並木A7,文科一・二類24組,飲食/お食事系
一歩踏み出して見える世界,工学部6号館,アイセック東京大学委員会,エンタメ/講演会、発表
Keystone Corner,工学部1号館,ジャズ研究会,音楽/バンド
UT COFFEE STAND,農学部1号館,珈琲同好会,飲食/飲み物
宙人,工学部7号館,工学部航空宇宙工学科,エンタメ/工作、体験
あ！杏仁ドリンク。,工学部広場E3,焼肉の〆,飲食/飲み物
東京大学囲碁部,国際学術総合研究棟,囲碁部,エンタメ/ゲーム、パズル
獣医アニマルわたあめ,農学部2号館前A5,農学部獣医学専攻,飲食/スイーツ
りばけ五月祭化学研究発表,理学部化学館,理学部化学科,学術/講演会、発表
ベルタコス,中央通りE5,ベルスターズ,飲食/お食事系
TOKYO ソーダ,工学部6号館横4,応援部,飲食/飲み物
目白台寮　国際交流カフェ,理学部1号館,目白台インターナショナルビレッジ,飲食/飲み物
えねるぎーらぼ,工学部3号館,工学部システム創成学科E&Eコース,学術/体験
地惑、わくわく,理学部1号館,理学部地球惑星物理学科・地球惑星環境学科,学術/展示
フラサークルKaWelina,工学部広場ステージ,フラサークルKaWelina,パフォーマンス/ダンス
ベネズエラ音楽ワークショップ,工学部3号館,Estudiantina Komaba,音楽/楽器演奏
文芸誌販売＆対話ブース,教育学部棟,教育学コース文芸部,学術/体験
INDONESIA CORNER (ICON),工学部広場D6,PERSATUAN PELAJAR INDONESIA,飲食/お食事系
宇宙開発フォーラム@五月祭,工学部3号館,宇宙開発フォーラム実行委員会,学術/講演会、発表
三つ星やきそば,農学部通りG4,理科一類33組,飲食/お食事系
𰻞𰻞麵,正門横5,理科一類26組,飲食/お食事系
Besterのかき氷,銀杏並木D1,Bester,飲食/スイーツ
 とくべチュ、ロスして,正赤通りF3,東京大学スポーツ愛好会バレーボールパート07,飲食/スイーツ
BeFrank,農学部通りC4,文科三類13組,飲食/軽食
TGIF MATCHA CAFE,農学部通りE3,TGIF,飲食/飲み物
東大多浪交流会,農学部通りB5,多浪交流会,飲食/酒類
まだ見ぬ一冊、かつての一冊,工学部2号館,出版甲子園実行委員会,エンタメ/工作、体験
箸で世界記録！30秒チャレンジ,銀杏並木D6,インカレギネスサークルRISE,エンタメ/ゲーム、パズル
東大 FKEN 五月祭ライブ,赤門総合研究棟,フォークソング研究会,音楽/バンド
たこやき敬天,正赤通りE1,新敬天寮,飲食/お食事系
東大五月祭特別講演　日本の未来を語る,法文1号館(東),右合の衆,学術/講演会、発表
LaVoceアカペラステージライブ,図書館前ステージ,アカペラバンドサークルLaVoce,音楽/合唱
牛串わしや,農学部通りD7,Eagles,飲食/軽食
Mandeln und Bier 2026,中央通りD5,理科二・三類17組有志,飲食/酒類
東大フィル第29回五月祭演奏会,安田講堂,フィルハーモニー管弦楽団,音楽/オーケストラ
野沢仕込み！スキー部おやき,銀杏並木B3,スキー部,飲食/軽食
岡山のご当地お菓子,工学部6号館横1,おかやま愛好会,飲食/スイーツ
